n,average_time(ns)
2,54.87
4,65.65
6,62.19
8,88.47
10,59.91
12,79.4567
14,77.88
16,74.5738
18,70.62
20,72.32
22,78.5336
24,74.3133
26,73.68
28,81.2314
30,73.536
32,85.2
34,71.4124
36,69.4406
38,67.1905
40,69.7285
42,67.9162
44,72.8023
46,75.0004
48,71.8179
50,74.2504
52,70.2654
54,71.2196
56,69.5636
58,76.5066
60,83.38
62,75.8465
64,79.1347
66,75.3967
68,74.3035
70,74.9523
72,87.9397
74,88.2778
76,75.2966
78,80.8659
80,71.2897
82,72.4356
84,72.9545
86,82.4426
88,80.7691
90,80.1096
92,78.388
94,76.2213
96,84.809
98,95.1318
100,78.1264
